read , Reserved word
x , Identifier
; , Special character
if , Reserved word
0 , Number
< , Special character
x , Identifier
then , Reserved word
fact , Identifier
:= , Assign
1 , Number
; , Special character
repeat , Reserved word
fact , Identifier
:= , Assign
fact , Identifier
* , Special character
x , Identifier
; , Special character
x , Identifier
:= , Assign
x , Identifier
- , Special character
1 , Number
until , Reserved word
x , Identifier
= , Special character
0 , Number
; , Special character
Write , Reserved word
fact , Identifier
end , Reserved word
